"currency","mean_model","p","q","dist","aic","bic","lbz","lbz2c","lbz2a","persistence"
"TWI","ARMA(1,0)",3,4,"std",1.28619010225121,1.31680653858778,0.606318691162441,0.000316475374958047,7.23415895964585e-05,0.902482470311886
"TWI","ARMA(1,0)",3,4,"sstd",1.28515087401299,1.3185506227438,0.590144852182866,0.000317257060648557,7.25333645161808e-05,0.911667820576896
"TWI","ARMA(1,0)",4,4,"norm",1.31402547345671,1.34464190979328,0.566386520720653,0.242249521696568,0.123427583734651,0.88631607976547
"TWI","ARMA(1,0)",4,4,"std",1.28718265626025,1.32058240499105,0.606320889891464,0.000316422531338678,7.23286265609246e-05,0.902480897430795
"TWI","ARMA(1,0)",4,4,"sstd",1.2861434353491,1.32232649647414,0.59014625853972,0.000317176402178432,7.25135744241712e-05,0.911678752268861
"SDR","ARMA(0,1)",1,1,"norm",1.84115368589577,1.85507024786694,0.781919832229024,0.00129890991191794,0.000331709884515141,0.975698786742475
"SDR","ARMA(0,1)",1,1,"std",1.79593458224914,1.81263445661454,0.874975655701326,3.56830541192732e-06,6.19370100984895e-07,0.982715267822034
"SDR","ARMA(0,1)",1,1,"sstd",1.79479802665722,1.81428121341686,0.864488439442156,3.06538686323243e-06,5.27896296342867e-07,0.983404578808183
"SDR","ARMA(0,1)",2,1,"norm",1.84222472676221,1.85892460112761,0.781894575403126,0.00128786675182757,0.00032865294506379,0.975785943677931
"SDR","ARMA(0,1)",2,1,"std",1.79697353465063,1.81645672141026,0.875214569399177,3.49624969819828e-06,6.06218064524988e-07,0.982760129555544
"SDR","ARMA(0,1)",2,1,"sstd",1.79584022001575,1.81810671916961,0.864751872398869,3.00908964667723e-06,5.17705476821284e-07,0.983443754810356
"SDR","ARMA(0,1)",3,1,"norm",1.84343177394534,1.86291496070498,0.782483496767078,0.00125556078849132,0.000319724125105059,0.975894817814034
"SDR","ARMA(0,1)",3,1,"std",1.79807264813621,1.82033914729008,0.875872579021464,3.3172537058368e-06,5.73611931731222e-07,0.982821710842914
"SDR","ARMA(0,1)",3,1,"sstd",1.79694206846786,1.82199188001596,0.865533500603124,2.86100407398404e-06,4.90949462528256e-07,0.983496856828522
"SDR","ARMA(0,1)",4,1,"norm",1.84463058587396,1.86689708502782,0.782094553128035,0.00122508801464605,0.000311321434488754,0.976003144744995
"SDR","ARMA(0,1)",4,1,"std",1.79916742664569,1.8242172381938,0.876434147392007,3.15747482060313e-06,5.44587896111892e-07,0.982876169778142
"SDR","ARMA(0,1)",4,1,"sstd",1.79803958797894,1.82587271192128,0.866153169810324,2.73178272625074e-06,4.67663252567974e-07,0.983542747623283
"SDR","ARMA(0,1)",1,2,"norm",1.83392160431332,1.85062147867872,0.787132728680406,0.00407704951107601,0.00115443853233776,0.960280211104638
"SDR","ARMA(0,1)",1,2,"std",1.79244201136761,1.81192519812725,0.877086331193043,7.4516280536896e-05,1.54224816735216e-05,0.968383097443249
"SDR","ARMA(0,1)",1,2,"sstd",1.79111804664016,1.81338454579403,0.867413024205049,6.35461894281653e-05,1.30182543869317e-05,0.969716955989208
"SDR","ARMA(0,1)",2,2,"norm",1.83491416041399,1.85439734717362,0.787158303297504,0.00407408301336121,0.00115351728848401,0.960289975934777
"SDR","ARMA(0,1)",2,2,"std",1.79343457072771,1.81570106988158,0.877096736848057,7.44796487762711e-05,1.54144104146381e-05,0.968389073945317
